T,S,C,pwdCracked,sample
100,3,3,1,17
1000,3,3,3,17
10000,3,3,12,17
50000,3,3,17,17
200000,3,3,17,17
100,4,3,0,456
1000,4,3,3,456
10000,4,3,33,456
50000,4,3,156,456
200000,4,3,338,456
100,5,3,1,11881
1000,5,3,1,11881
10000,5,3,33,11881
50000,5,3,246,11881
200000,5,3,791,11881
100,6,3,0,308915
1000,6,3,4,308915
10000,6,3,33,308915
50000,6,3,202,308915
200000,6,3,827,308915
