S,T,C,pwdCracked,sample
3,1000,3,4,17
4,1000,3,6,456
5,1000,3,6,11881
6,1000,3,7,308915
3,2000,3,2,17
4,2000,3,7,456
5,2000,3,11,11881
6,2000,3,8,308915
3,5000,3,7,17
4,5000,3,19,456
5,5000,3,21,11881
6,5000,3,17,308915
3,10000,3,14,17
4,10000,3,41,456
5,10000,3,40,11881
6,10000,3,36,308915
