S,C,T,pwdCracked,sample
3,1,10000,14,17
4,1,10000,17,456
5,1,10000,28,11881
6,1,10000,25,308915
3,2,10000,11,17
4,2,10000,39,456
5,2,10000,27,11881
6,2,10000,31,308915
3,4,10000,13,17
4,4,10000,50,456
5,4,10000,61,11881
6,4,10000,44,308915
3,7,10000,17,17
4,7,10000,73,456
5,7,10000,76,11881
6,7,10000,77,308915
3,10,10000,17,17
4,10,10000,89,456
5,10,10000,129,11881
6,10,10000,115,308915
3,20,10000,17,17
4,20,10000,145,456
5,20,10000,233,11881
6,20,10000,223,308915
