C,S,T,pwdCracked,sample
3,3,10000,15,17
4,3,10000,16,17
5,3,10000,15,17
10,3,10000,16,17
20,3,10000,17,17
50,3,10000,17,17
3,4,10000,42,456
4,4,10000,42,456
5,4,10000,55,456
10,4,10000,93,456
20,4,10000,158,456
50,4,10000,277,456
3,5,10000,44,11881
4,5,10000,60,11881
5,5,10000,60,11881
10,5,10000,120,11881
20,5,10000,211,11881
50,5,10000,505,11881
3,6,10000,36,308915
4,6,10000,41,308915
5,6,10000,49,308915
10,6,10000,113,308915
20,6,10000,228,308915
50,6,10000,522,308915
