S,T,C,pwdCracked,sample
3,1000,3,50,17
4,1000,3,478,456
5,1000,3,556,11881
6,1000,3,518,308915
3,2000,3,76,17
4,2000,3,852,456
5,2000,3,973,11881
6,2000,3,878,308915
3,5000,3,99,17
4,5000,3,1699,456
5,5000,3,2159,11881
6,5000,3,1906,308915
3,10000,3,167,17
4,10000,3,3532,456
5,10000,3,4131,11881
6,10000,3,3562,308915
