S,C,T,pwdCracked,sample
3,1,10000,12,17
4,1,10000,15,456
5,1,10000,19,11881
6,1,10000,19,308915
3,2,10000,13,17
4,2,10000,37,456
5,2,10000,38,11881
6,2,10000,26,308915
3,4,10000,17,17
4,4,10000,51,456
5,4,10000,64,11881
6,4,10000,35,308915
3,7,10000,15,17
4,7,10000,73,456
5,7,10000,70,11881
6,7,10000,80,308915
3,10,10000,15,17
4,10,10000,94,456
5,10,10000,92,11881
6,10,10000,111,308915
3,20,10000,16,17
4,20,10000,152,456
5,20,10000,221,11881
6,20,10000,192,308915
