C,S,T,pwdCracked,sample
3,3,10000,14,17
4,3,10000,16,17
5,3,10000,15,17
10,3,10000,15,17
20,3,10000,17,17
50,3,10000,17,17
3,4,10000,38,456
4,4,10000,47,456
5,4,10000,55,456
10,4,10000,94,456
20,4,10000,152,456
50,4,10000,267,456
3,5,10000,32,11881
4,5,10000,46,11881
5,5,10000,59,11881
10,5,10000,98,11881
20,5,10000,208,11881
50,5,10000,513,11881
3,6,10000,46,308915
4,6,10000,69,308915
5,6,10000,55,308915
10,6,10000,118,308915
20,6,10000,203,308915
50,6,10000,504,308915
