C,T,S,pwdCracked
3,1000,4,990
4,1000,4,1270
5,1000,4,1545
10,1000,4,2903
20,1000,4,5171
50,1000,4,12055
3,2000,4,2052
4,2000,4,2489
5,2000,4,3020
10,2000,4,5587
20,2000,4,9988
50,2000,4,22634
3,5000,4,5097
4,5000,4,6246
5,5000,4,7430
10,5000,4,13037
20,5000,4,23370
50,5000,4,46047
3,10000,4,9776
4,10000,4,11885
5,10000,4,14260
10,10000,4,24077
20,10000,4,40137
50,10000,4,70141
