T,C,S,pwdCracked
100,3,4,129
1000,3,4,1010
10000,3,4,9758
50000,3,4,39493
200000,3,4,87744
100,5,4,151
1000,5,4,1573
10000,5,4,14251
50000,5,4,52064
200000,5,4,98351
100,10,4,281
1000,10,4,2826
10000,10,4,24410
50000,10,4,73138
200000,10,4,109212
100,20,4,573
1000,20,4,5354
10000,20,4,40094
50000,20,4,93220
200000,20,4,115012
