S,T,C,pwdCracked
3,1000,3,3423
4,1000,3,3558
5,1000,3,336
6,1000,3,14
7,1000,3,2
8,1000,3,0
3,2000,3,5977
4,2000,3,7037
5,2000,3,627
6,2000,3,24
7,2000,3,1
8,2000,3,0
3,5000,3,10758
4,5000,3,17337
5,5000,3,1652
6,5000,3,63
7,5000,3,3
8,5000,3,0
3,10000,3,14221
4,10000,3,33501
5,10000,3,3214
6,10000,3,116
7,10000,3,12
8,10000,3,0
