C,S,T,pwdCracked
3,3,10000,14269
4,3,10000,14892
5,3,10000,15499
10,3,10000,16717
20,3,10000,17275
50,3,10000,17507
3,4,10000,33457
4,4,10000,41334
5,4,10000,48691
10,4,10000,83138
20,4,10000,137716
50,4,10000,239211
3,5,10000,3239
4,5,10000,4053
5,5,10000,4821
10,5,10000,8829
20,5,10000,16696
50,5,10000,39626
3,6,10000,138
4,6,10000,153
5,6,10000,210
10,6,10000,332
20,6,10000,658
50,6,10000,1611
