T,S,C,pwdCracked
100,3,3,400
1000,3,3,3423
10000,3,3,14212
50000,3,3,17432
200000,3,3,17576
100,4,3,353
1000,4,3,3554
10000,4,3,33513
50000,4,3,135300
200000,4,3,300414
100,5,3,28
1000,5,3,320
10000,5,3,3200
50000,5,3,16240
200000,5,3,61366
100,6,3,0
1000,6,3,11
10000,6,3,133
50000,6,3,636
200000,6,3,2542
