S,C,T,pwdCracked
3,3,10000,14233
4,3,10000,33529
5,3,10000,3227
6,3,10000,117
7,3,10000,2
8,3,10000,0
3,5,10000,15405
4,5,10000,48666
5,5,10000,4783
6,5,10000,205
7,5,10000,6
8,5,10000,0
3,10,10000,16714
4,10,10000,82771
5,10,10000,8946
6,10,10000,366
7,10,10000,11
8,10,10000,0
3,20,10000,17303
4,20,10000,138054
5,20,10000,16596
6,20,10000,667
7,20,10000,23
8,20,10000,1
